,Name,Country,MMSI,Type,Size,DWT,Year,Area
118,MAERSK SEMARANG,Liberia,636092986,Container Ship,14608,108447,2007,North Pacific Ocean
119,BERLIN,Germany,211727510,Ro-Ro/Passenger Ship,4590,5000,2014,Baltic Sea
120,SCANDINAVIA,Denmark,219011922,Oil Products Tanker,1079,3814,2006,Kattegat
121,MAXI,Antigua Barbuda,305808000,General Cargo,1680,6359,1999,Kattegat
122,ZEEZAND EXPRESS,Netherlands,246384000,Trailing Suction Hopper Dredger,720,1500,1982,North Sea
123,ZAIM H,Turkey,271000501,General Cargo,1316,4448,1997,English Channel
124,FIGARO,Sweden,266338000,Vehicles Carrier,7392,30140,2011,North Sea
125,MERSEY ENDURANCE,United Kingdom,235099933,Inland Tanker,2580,1650,2012,Irish Sea and St. George's Channel
126,GAS SHURIKEN,Marshall Is,538003359,Lpg Tanker,1800,5025,2008,Mediterranean Sea - Eastern Basin
127,DODEKANISOS PRIDE,Greece,240383000,High speed craft,440,51,2005,Mediterranean Sea - Eastern Basin
128,LOMAX,United Kingdom,235096265,Tug,392,133,2012,English Channel
129,LPG/C SEAGAS MAJOR,Liberia,636016188,Lpg Tanker,1485,4197,1999,Aegean Sea
130,RUTH BORCHARD,Marshall Is,538005024,Container Ship,4293,15313,2000,Mediterranean Sea - Eastern Basin
131,SKY FEYZ,Panama,355997000,General Cargo,1320,3662,1995,Aegean Sea
132,HELENE,Antigua Barbuda,304157000,Container Ship,3197,11804,2007,North Atlantic Ocean
133,MARTYN LATSIS,Ukraine,272031000,General Cargo,1482,3134,1982,Mediterranean Sea - Eastern Basin
134,DUTCH POWER,Netherlands,246607000,Tug,300,130,2009,Baltic Sea
135,SAGASBANK,Netherlands,246061000,General Cargo,1246,4500,2010,North Sea
136,BLUE STAR 2,Greece,239737000,Ro-Ro/Passenger Ship,4576,5075,2000,Aegean Sea
137,STAVROS,Greece,237352400,Ro-Ro/Passenger Ship,1050,913,2001,Mediterranean Sea - Eastern Basin
138,ILYA MUROMETS,Moldova,214181714,General Cargo,2208,5176,1975,Mediterranean Sea - Eastern Basin
139,HASAN G,Guyana,750994000,General Cargo,1785,6830,1996,Aegean Sea
140,DELTA TOLMI,Liberia,636020131,Crude Oil Tanker,13152,157488,2010,Mediterranean Sea - Eastern Basin
141,INCE BEYLERBEYI,Singapore,563088400,Bulk Carrier,6368,61429,2012,Mediterranean Sea - Eastern Basin
142,BULK VALOR,Panama,352986151,Bulk Carrier,6080,58105,2013,North Sea
143,ATLANTIC BEAVER,Canada,316012539,Tug,360,190,2008,North Atlantic Ocean
144,SLOMAN THETIS,Antigua Barbuda,305496000,Oil/Chemical Tanker,4760,34662,2006,North Atlantic Ocean
145,EAST,Estonia,276854000,Oil Products Tanker,1027,2774,1992,Gulf of Finland
146,ALATEPE,Turkey,271044357,Chemical Tanker,1840,6239,1995,Aegean Sea
147,SIDER JOY,Portugal,255806429,Bulk Carrier,4239,25026,2011,Mediterranean Sea - Eastern Basin
148,BRUSSELS,Portugal,255806004,Container Ship,11120,68790,2000,North Sea
149,PANORMITIS,Greece,241679000,General Cargo,935,1230,1985,Aegean Sea
150,KETHI,Malta,215540000,General Cargo,1770,7875,2002,Gulf of Finland
151,UBC TOKYO,Cyprus,210786000,General Cargo,5307,37865,2005,Gulf of Mexico
152,SEA ENDURANCE,Cyprus,210084000,General Cargo,1980,9387,2012,Gulf of Finland
153,MSC TUXPAN,Portugal,255796000,Container Ship,9735,68017,2005,North Sea
154,ARACARI ARROW,Bahamas,311044300,General Cargo,6200,46956,1992,North Atlantic Ocean
155,GRAND BANKS,Namibia,659254000,Mining Vessel,2440,6648,1972,South Atlantic Ocean
156,GRAND BANKS,Namibia,659254000,Mining Vessel,2440,6648,1972,South Atlantic Ocean
157,CMA  CGM  GALICIA,Malta,229595000,Container Ship,3648,13172,2007,North Sea
158,ST SOLENE,France,226302000,Oil/Chemical Tanker,1785,5820,2003,North Sea
159,WADI SAFAD,UAE,470533000,Tug,245,378,1999,Gulf of Oman
160,HELENE,Antigua Barbuda,304157000,Container Ship,3197,11804,2007,North Atlantic Ocean
161,MILANGAZ III,Turkey,271000865,Lpg Tanker,924,1707,1976,Sea of Marmara
162,SPAR CORVUS,Norway,259093000,Bulk Carrier,6080,58000,2011,North Pacific Ocean
163,DUTCH POWER,Netherlands,246607000,Tug,300,130,2009,Baltic Sea
164,VIRONO PRIDE,Liberia,636021245,Bulk Carrier,6080,58761,2009,North Sea
165,SOLUTION,Cook Is,518100623,Patrol Vessel,344,70,2010,Balearic Sea
166,SWE-FREIGHTER,Cyprus,210547000,General Cargo,1386,4537,2000,Baltic Sea
167,BLUE STAR DELOS,Greece,241087000,Ro-Ro/Passenger Ship,3480,2775,2011,Aegean Sea
168,BC GRACE,Panama,351450000,Bulk Carrier,4617,29637,2011,Bay of Biscay
169,BOTNIA SEAWAYS,Lithuania,277399000,Ro-Ro Cargo,3423,8702,2000,Baltic Sea
170,MARYCAM SWAN,Panama,351180000,Lpg Tanker,4004,16772,2009,Aegean Sea
171,SAKIZAYA BRAVE,Panama,351170000,Bulk Carrier,7200,74940,2013,Mediterranean Sea - Eastern Basin
172,VENTURA,United Kingdom,232013925,General Cargo,1056,3850,2000,North Sea
173,LOUWE SENIOR,United Kingdom,235003170,Trawler,333,111,2002,North Sea
174,OKYROE,Marshall Is,538002621,Crude Oil Tanker,7296,74999,2004,Kattegat
175,AL BARQ AL SAUDI,Saudi Arabia,403010000,Oil/Chemical Tanker,1200,3539,1999,Red Sea
176,KUBAN STAR,Russia,273316460,Tug,224,139,1986,Black Sea
177,KEY MARMARA,Malta,248891000,Oil/Chemical Tanker,1802,5825,2003,Kattegat
178,SAGASBANK,Netherlands,246061000,General Cargo,1246,4500,2010,North Sea
179,B GAS MARINER,Malta,215064000,Lpg Tanker,1320,3811,2007,Kattegat
180,PUSAKA PRIMA,Malaysia,533130716,Asphalt/Bitumen Tanker,1908,4147,1996,Singapore Strait
181,LUNA E,Greenland,331999008,Fishing Vessel,315,500,2006,Kattegat
182,PEYTON LYNN C,Antigua Barbuda,304474000,Container Ship,3243,12193,2007,Baltic Sea
183,MARLIN,Russia,273299220,Offshore Supply Ship,1800,4195,2008,Skaggerak
184,HEIMDAL R,Netherlands,244060659,Offshore Supply Ship,1596,3974,1997,Baltic Sea
185,JEANNY,Netherlands,244719000,General Cargo,536,830,1970,Baltic Sea
186,ATLANTIC WILLOW,Canada,316002800,Tug,360,145,1998,North Atlantic Ocean
187,MISTRAL 7,France,227006650,Tug,300,70,2000,Celtic Sea
188,UKD MARLIN,United Kingdom,232001610,Trailing Suction Hopper Dredger,1296,3735,1993,North Sea
189,RACHEL CARSON,USA,338415000,Multi Purpose Offshore Vessel,462,428,2003,North Pacific Ocean
190,STOLT SHEARWATER,Cayman Is,319402000,Oil/Chemical Tanker,1536,5498,1998,North Sea
191,AQUA FJORD,Norway,258031000,General Cargo,840,1612,2004,Norwegian Sea
192,KERLI,Malta,229849000,General Cargo,1170,4211,1997,North Sea
193,PONT AVEN,France,228183600,Ro-Ro/Passenger Ship,6256,4803,2004,English Channel
194,CELSIUS PALERMO,Marshall Is,538008065,Oil Products Tanker,6138,53540,2010,English Channel
195,ELYSIUM,Cayman Is,319029000,Yacht,477,172,2001,Singapore Strait
196,WISBY TEAK,Norway,259944000,Oil/Chemical Tanker,1800,7374,2011,North Sea
197,MEDWAY,Cyprus,209416000,Trailing Suction Hopper Dredger,2520,7347,2012,North Sea
198,HUSOY,Norway,258695000,Ro-Ro/Passenger Ship,1008,360,2013,Norwegian Sea
199,ABRAMIS,Norway,259582000,Tug,261,156,1982,Norwegian Sea
200,TAURANGA,Norway,258232000,Fish Carrier,500,800,2001,North Sea
201,SKANDI VEGA,Norway,257403000,Anchor Handling Vessel,2640,5750,2010,North Sea
202,DUTCH POWER,Netherlands,246607000,Tug,300,130,2009,Baltic Sea
203,PANTA RHEI,Netherlands,245169000,General Cargo,984,3755,2009,Skaggerak
204,MEDKON IZMIR,Panama,374818000,General Cargo,2020,8973,1995,Aegean Sea
205,SP AMBER,USA,368481000,Tug,448,628,2008,Gulf of Mexico
206,SP IVORY,USA,367331110,Tug,448,629,2008,Gulf of Mexico
207,TIDEFJORD,Norway,258220500,Ro-Ro/Passenger Ship,1938,1050,2008,Norwegian Sea
208,ZA RODINU,Russia,273399010,Fishing Vessel,192,134,2005,Baltic Sea
209,BLUE STAR PAROS,Greece,239924000,Ro-Ro/Passenger Ship,2356,1896,2002,Aegean Sea
210,DONGFANGQIANG,China,413695760,Container Ship,5250,32482,1996,Eastern China Sea
211,BASAT,Malta,249255000,Oil/Chemical Tanker,2508,10745,2008,North Sea
212,EMERALD INDAH,Singapore,564749000,Bulk Carrier,8208,77734,1998,Eastern China Sea
213,LEON,Greece,241506000,Tug,340,89,1983,Aegean Sea
214,SPAR CORVUS,Norway,259093000,Bulk Carrier,6080,58000,2011,North Pacific Ocean
215,M/V EIDHOLM,Norway,258293000,General Cargo,828,1826,1987,North Sea
216,WESER PILOT,Germany,211464260,Pilot Ship,1525,299,2009,North Sea
217,CAPE EAGLE,Liberia,636017448,Bulk Carrier,13140,181529,2012,Aegean Sea
218,GLAREA,Denmark,219244000,Suction Dredger,1148,2266,1971,North Sea
219,BELLA II,Marshall Is,538071319,Yacht,440,1,2008,Tyrrhenian Sea
220,MED SETUBAL,Portugal,263602553,Tug,330,118,1991,North Atlantic Ocean
221,ELINE,Norway,257095330,Fish Carrier,320,320,1982,North Sea
222,TAIBA,Tanzania,677098300,Livestock Carrier,1680,4193,1978,Aegean Sea
223,BLUE STAR DELOS,Greece,241087000,Ro-Ro/Passenger Ship,3480,2775,2011,Aegean Sea
224,BRUSSELS,Portugal,255806004,Container Ship,11120,68790,2000,North Sea
225,TIGRAN MARTIROSYAN,Russia,273152100,Pusher Tug,230,27,1989,Black Sea
226,VIRONO PRIDE,Liberia,636021245,Bulk Carrier,6080,58761,2009,North Sea
